Flag Number - UTM 36S,N,E
Flag 1,9520013.73,727619.12
Flag 2,9520021.76,727625.07
Flag 3,9520029.79,727631.03
Flag 4,9520037.83,727636.99
Flag 5,9520007.77,727627.15
Flag 6,9520015.8,727633.11
Flag 7,9520023.84,727639.06
Flag 8,9520031.87,727645.02
Flag 9,9520001.82,727635.18
Flag 10,9520009.85,727641.14
Flag 11,9520017.88,727647.09
Flag 12,9520025.91,727653.05
Flag 13,9519995.86,727643.21
Flag 14,9520003.89,727649.17
Flag 15,9520011.92,727655.13
Flag 16,9520019.96,727661.08
Flag 17,9519989.9,727651.24
Flag 18,9519997.93,727657.2
Flag 19,9520005.97,727663.16
Flag 20,9520014,727669.12
Flag 21,9519983.95,727659.28
Flag 22,9519991.98,727665.23
Flag 23,9520000.01,727671.19
Flag 24,9520008.04,727677.15
